Year,County,AgeCat,fpPopulation,Population,dif,pctDiff
2011,53001,0-17,6758.206,6802.521,-44.315,-0.007
2012,53001,0-17,6822.613,6913.486,-90.873,-0.013
2013,53001,0-17,6925.46,7064.398,-138.938,-0.02
2014,53001,0-17,7063.578,7249.954,-186.376,-0.026
2015,53001,0-17,7320.707,7553.24,-232.533,-0.031
2016,53001,0-17,7214.202,7482.375,-268.173,-0.036
2017,53001,0-17,7229.135,7535.885,-306.75,-0.041
2018,53001,0-17,7161.356,7501.558,-340.201,-0.045
2019,53001,0-17,7067.927,7452.364,-384.437,-0.052
2020,53001,0-17,7052.613,7481.816,-429.202,-0.057
2011,53003,0-17,4595.332,4598.453,-3.121,-0.001
2012,53003,0-17,4496.507,4502.005,-5.498,-0.001
2013,53003,0-17,4487.355,4496.585,-9.23,-0.002
2014,53003,0-17,4513.995,4524.75,-10.754,-0.002
2015,53003,0-17,4541.154,4555.933,-14.779,-0.003
2016,53003,0-17,4554.078,4570.381,-16.303,-0.004
2017,53003,0-17,4547.263,4567.993,-20.73,-0.005
2018,53003,0-17,4532.697,4552.222,-19.525,-0.004
2019,53003,0-17,4544.265,4569.834,-25.569,-0.006
2020,53003,0-17,4544.481,4574.825,-30.344,-0.007
2011,53005,0-17,47862.446,47677.257,185.189,0.004
2012,53005,0-17,48017.965,47653.62,364.345,0.008
2013,53005,0-17,48794.813,48243.09,551.723,0.011
2014,53005,0-17,49473.084,48716.272,756.812,0.016
2015,53005,0-17,50017.786,49056.692,961.094,0.02
2016,53005,0-17,50771.055,49583.022,1188.032,0.024
2017,53005,0-17,51660.442,50282.397,1378.046,0.027
2018,53005,0-17,52656.796,51098.686,1558.11,0.03
2019,53005,0-17,53768.967,52060.679,1708.288,0.033
2020,53005,0-17,54763.636,52905.857,1857.779,0.035
2011,53007,0-17,17845.718,17875.782,-30.064,-0.002
2012,53007,0-17,17718.358,17774.858,-56.5,-0.003
2013,53007,0-17,17609.103,17689.205,-80.102,-0.005
2014,53007,0-17,17589.406,17689.024,-99.618,-0.006
2015,53007,0-17,17645.016,17771.294,-126.278,-0.007
2016,53007,0-17,17772.734,17926.51,-153.776,-0.009
2017,53007,0-17,17842.001,18032.453,-190.452,-0.011
2018,53007,0-17,17883.063,18094.027,-210.964,-0.012
2019,53007,0-17,17850.986,18088.102,-237.117,-0.013
2020,53007,0-17,17931.632,18208.087,-276.455,-0.015
2011,53009,0-17,12746.952,12807.426,-60.474,-0.005
2012,53009,0-17,12589.415,12709.104,-119.689,-0.009
2013,53009,0-17,12493.735,12670.327,-176.593,-0.014
2014,53009,0-17,12398.635,12632.636,-234.0,-0.019
2015,53009,0-17,12346.147,12638.648,-292.501,-0.023
2016,53009,0-17,12478.415,12840.081,-361.666,-0.028
2017,53009,0-17,12513.911,12943.672,-429.761,-0.033
2018,53009,0-17,12535.757,13035.201,-499.444,-0.038
2019,53009,0-17,12560.828,13126.404,-565.576,-0.043
2020,53009,0-17,12532.453,13156.86,-624.407,-0.047
2011,53011,0-17,111378.161,111100.724,277.437,0.002
2012,53011,0-17,110781.432,110233.633,547.799,0.005
2013,53011,0-17,110529.795,109708.529,821.266,0.007
2014,53011,0-17,110990.904,109872.545,1118.359,0.01
2015,53011,0-17,111971.789,110569.823,1401.966,0.013
2016,53011,0-17,112564.237,110840.206,1724.032,0.016
2017,53011,0-17,114009.46,112024.13,1985.33,0.018
2018,53011,0-17,114900.099,112647.237,2252.863,0.02
2019,53011,0-17,115928.227,113435.835,2492.391,0.022
2020,53011,0-17,117464.891,114726.131,2738.76,0.024
2011,53013,0-17,802.812,813.97,-11.158,-0.014
2012,53013,0-17,772.462,793.822,-21.361,-0.027
2013,53013,0-17,742.278,772.787,-30.51,-0.039
2014,53013,0-17,727.188,766.365,-39.177,-0.051
2015,53013,0-17,715.578,766.087,-50.509,-0.066
2016,53013,0-17,696.339,756.478,-60.139,-0.079
2017,53013,0-17,691.945,764.139,-72.194,-0.094
2018,53013,0-17,686.814,771.143,-84.328,-0.109
2019,53013,0-17,672.291,768.0,-95.709,-0.125
2020,53013,0-17,667.829,775.524,-107.695,-0.139
2011,53015,0-17,24371.509,24337.024,34.484,0.001
2012,53015,0-17,24149.85,24081.142,68.709,0.003
2013,53015,0-17,23948.134,23843.543,104.591,0.004
2014,53015,0-17,23830.672,23688.469,142.203,0.006
2015,53015,0-17,23831.522,23655.257,176.265,0.007
2016,53015,0-17,24017.19,23801.821,215.368,0.009
2017,53015,0-17,24251.135,24000.479,250.656,0.01
2018,53015,0-17,24512.294,24224.804,287.49,0.012
2019,53015,0-17,24794.932,24488.162,306.771,0.013
2020,53015,0-17,25133.045,24794.283,338.762,0.014
2011,53017,0-17,10321.515,10330.133,-8.619,-0.001
2012,53017,0-17,10213.63,10229.61,-15.98,-0.002
2013,53017,0-17,10155.007,10178.787,-23.78,-0.002
2014,53017,0-17,10204.964,10231.073,-26.109,-0.003
2015,53017,0-17,10189.366,10212.811,-23.445,-0.002
2016,53017,0-17,10369.756,10399.906,-30.15,-0.003
2017,53017,0-17,10471.273,10521.148,-49.876,-0.005
2018,53017,0-17,10587.848,10659.947,-72.099,-0.007
2019,53017,0-17,10676.235,10761.941,-85.707,-0.008
2020,53017,0-17,10856.292,10957.351,-101.059,-0.009
2011,53019,0-17,1449.41,1455.539,-6.129,-0.004
2012,53019,0-17,1437.241,1449.96,-12.718,-0.009
2013,53019,0-17,1414.559,1433.836,-19.277,-0.013
2014,53019,0-17,1388.256,1413.667,-25.411,-0.018
2015,53019,0-17,1387.197,1418.23,-31.033,-0.022
2016,53019,0-17,1370.93,1409.524,-38.594,-0.027
2017,53019,0-17,1373.928,1419.649,-45.721,-0.032
2018,53019,0-17,1367.506,1419.788,-52.282,-0.037
2019,53019,0-17,1365.922,1423.364,-57.442,-0.04
2020,53019,0-17,1372.817,1435.304,-62.487,-0.044
2011,53021,0-17,27255.273,27285.58,-30.308,-0.001
2012,53021,0-17,27791.62,27863.306,-71.686,-0.003
2013,53021,0-17,28336.097,28454.959,-118.862,-0.004
2014,53021,0-17,28822.725,28970.913,-148.188,-0.005
2015,53021,0-17,28908.911,29077.65,-168.739,-0.006
2016,53021,0-17,29248.55,29410.491,-161.94,-0.006
2017,53021,0-17,29577.722,29744.412,-166.69,-0.006
2018,53021,0-17,29892.512,30101.606,-209.094,-0.007
2019,53021,0-17,30195.251,30390.489,-195.238,-0.006
2020,53021,0-17,30462.985,30672.065,-209.08,-0.007
2011,53023,0-17,448.613,446.269,2.344,0.005
2012,53023,0-17,453.099,448.658,4.441,0.01
2013,53023,0-17,449.773,441.944,7.829,0.018
2014,53023,0-17,441.586,432.549,9.037,0.021
2015,53023,0-17,449.319,437.445,11.874,0.027
2016,53023,0-17,464.759,452.827,11.932,0.026
2017,53023,0-17,472.126,457.066,15.06,0.033
2018,53023,0-17,483.696,467.89,15.806,0.034
2019,53023,0-17,494.138,475.21,18.929,0.04
2020,53023,0-17,496.183,476.767,19.415,0.041
2011,53025,0-17,27149.007,27203.541,-54.534,-0.002
2012,53025,0-17,27185.394,27297.984,-112.589,-0.004
2013,53025,0-17,27323.775,27494.493,-170.718,-0.006
2014,53025,0-17,27491.537,27705.012,-213.474,-0.008
2015,53025,0-17,27610.175,27862.214,-252.038,-0.009
2016,53025,0-17,27875.877,28155.78,-279.903,-0.01
2017,53025,0-17,27990.354,28311.994,-321.641,-0.011
2018,53025,0-17,28255.821,28652.426,-396.605,-0.014
2019,53025,0-17,28410.598,28883.171,-472.573,-0.016
2020,53025,0-17,28521.647,29066.393,-544.746,-0.019
2011,53027,0-17,15513.904,15513.569,0.335,0.0
2012,53027,0-17,15382.144,15380.263,1.881,0.0
2013,53027,0-17,15252.77,15248.178,4.592,0.0
2014,53027,0-17,15124.497,15114.486,10.011,0.001
2015,53027,0-17,15073.125,15059.2,13.925,0.001
2016,53027,0-17,15251.042,15231.487,19.554,0.001
2017,53027,0-17,15208.593,15193.489,15.104,0.001
2018,53027,0-17,15169.778,15156.809,12.969,0.001
2019,53027,0-17,15109.803,15102.717,7.086,0.0
2020,53027,0-17,15068.303,15064.949,3.354,0.0
2011,53029,0-17,16042.903,16126.24,-83.337,-0.005
2012,53029,0-17,15930.676,16098.035,-167.359,-0.01
2013,53029,0-17,15827.833,16082.1,-254.267,-0.016
2014,53029,0-17,15810.639,16144.273,-333.634,-0.021
2015,53029,0-17,15771.841,16189.832,-417.991,-0.026
2016,53029,0-17,15386.018,15875.922,-489.904,-0.031
2017,53029,0-17,15306.179,15871.245,-565.066,-0.036
2018,53029,0-17,15419.064,16071.74,-652.676,-0.041
2019,53029,0-17,15546.834,16291.43,-744.595,-0.046
2020,53029,0-17,15686.767,16512.999,-826.231,-0.05
2011,53031,0-17,4300.187,4301.408,-1.221,-0.0
2012,53031,0-17,4241.229,4243.009,-1.78,-0.0
2013,53031,0-17,4177.891,4179.814,-1.923,-0.0
2014,53031,0-17,4133.081,4136.212,-3.131,-0.001
2015,53031,0-17,4079.869,4083.121,-3.252,-0.001
2016,53031,0-17,4064.203,4070.334,-6.131,-0.002
2017,53031,0-17,4040.888,4052.858,-11.971,-0.003
2018,53031,0-17,4005.779,4019.297,-13.518,-0.003
2019,53031,0-17,4001.085,4015.727,-14.642,-0.004
2020,53031,0-17,4013.631,4026.156,-12.525,-0.003
2011,53033,0-17,414681.895,415253.943,-572.049,-0.001
2012,53033,0-17,416208.752,417335.114,-1126.362,-0.003
2013,53033,0-17,419214.492,420854.735,-1640.243,-0.004
2014,53033,0-17,424296.92,426424.678,-2127.758,-0.005
2015,53033,0-17,429846.521,432641.699,-2795.179,-0.006
2016,53033,0-17,436897.869,440544.564,-3646.695,-0.008
2017,53033,0-17,443825.347,448139.643,-4314.296,-0.01
2018,53033,0-17,448036.01,452886.244,-4850.234,-0.011
2019,53033,0-17,451563.873,456974.866,-5410.994,-0.012
2020,53033,0-17,454817.224,460857.248,-6040.025,-0.013
2011,53035,0-17,55454.869,55541.076,-86.206,-0.002
2012,53035,0-17,54745.776,54918.939,-173.163,-0.003
2013,53035,0-17,53937.409,54194.733,-257.324,-0.005
2014,53035,0-17,53801.86,54136.475,-334.615,-0.006
2015,53035,0-17,54000.474,54419.735,-419.261,-0.008
2016,53035,0-17,54370.43,54873.028,-502.598,-0.009
2017,53035,0-17,54819.859,55430.14,-610.281,-0.011
2018,53035,0-17,55131.23,55848.443,-717.213,-0.013
2019,53035,0-17,55433.349,56263.956,-830.608,-0.015
2020,53035,0-17,55735.396,56666.215,-930.819,-0.016
2011,53037,0-17,7290.801,7346.948,-56.146,-0.008
2012,53037,0-17,7546.904,7668.932,-122.027,-0.016
2013,53037,0-17,7810.298,8006.284,-195.987,-0.024
2014,53037,0-17,8003.847,8280.032,-276.185,-0.033
2015,53037,0-17,7755.187,8044.585,-289.397,-0.036
2016,53037,0-17,8054.469,8394.061,-339.592,-0.04
2017,53037,0-17,8226.939,8627.985,-401.045,-0.046
2018,53037,0-17,8347.569,8796.484,-448.915,-0.051
2019,53037,0-17,8465.467,8973.386,-507.919,-0.057
2020,53037,0-17,8671.36,9246.944,-575.583,-0.062
2011,53039,0-17,4447.269,4439.716,7.552,0.002
2012,53039,0-17,4360.072,4345.239,14.834,0.003
2013,53039,0-17,4329.276,4306.116,23.159,0.005
2014,53039,0-17,4273.951,4244.788,29.163,0.007
2015,53039,0-17,4259.171,4222.898,36.273,0.009
2016,53039,0-17,4267.627,4226.761,40.866,0.01
2017,53039,0-17,4306.358,4260.248,46.109,0.011
2018,53039,0-17,4356.727,4302.652,54.075,0.013
2019,53039,0-17,4424.489,4364.395,60.093,0.014
2020,53039,0-17,4467.704,4398.328,69.376,0.016
2011,53041,0-17,17299.618,17221.424,78.195,0.005
2012,53041,0-17,17226.029,17068.894,157.135,0.009
2013,53041,0-17,17138.709,16902.251,236.458,0.014
2014,53041,0-17,17036.893,16721.749,315.144,0.019
2015,53041,0-17,17078.849,16692.185,386.664,0.023
2016,53041,0-17,17263.133,16797.66,465.473,0.028
2017,53041,0-17,17477.373,16935.196,542.177,0.032
2018,53041,0-17,17669.407,17047.399,622.008,0.036
2019,53041,0-17,17904.355,17213.166,691.188,0.04
2020,53041,0-17,18139.592,17380.478,759.114,0.044
2011,53043,0-17,2361.525,2366.367,-4.843,-0.002
2012,53043,0-17,2321.665,2331.346,-9.681,-0.004
2013,53043,0-17,2275.944,2287.798,-11.854,-0.005
2014,53043,0-17,2262.856,2276.149,-13.293,-0.006
2015,53043,0-17,2215.51,2231.292,-15.781,-0.007
2016,53043,0-17,2239.113,2260.545,-21.433,-0.009
2017,53043,0-17,2233.343,2258.219,-24.876,-0.011
2018,53043,0-17,2251.782,2284.594,-32.812,-0.014
2019,53043,0-17,2279.903,2323.814,-43.911,-0.019
2020,53043,0-17,2280.403,2331.401,-50.998,-0.022
2011,53045,0-17,12171.653,12196.044,-24.391,-0.002
2012,53045,0-17,12137.157,12188.69,-51.533,-0.004
2013,53045,0-17,12090.809,12167.531,-76.722,-0.006
2014,53045,0-17,12026.904,12125.818,-98.914,-0.008
2015,53045,0-17,11959.222,12084.321,-125.099,-0.01
2016,53045,0-17,12021.493,12170.917,-149.424,-0.012
2017,53045,0-17,12144.071,12321.779,-177.709,-0.014
2018,53045,0-17,12238.347,12448.291,-209.944,-0.017
2019,53045,0-17,12332.035,12574.07,-242.035,-0.019
2020,53045,0-17,12433.703,12711.019,-277.316,-0.022
2011,53047,0-17,9521.811,9583.101,-61.29,-0.006
2012,53047,0-17,9440.192,9563.993,-123.801,-0.013
2013,53047,0-17,9380.625,9564.479,-183.854,-0.019
2014,53047,0-17,9349.436,9593.089,-243.653,-0.025
2015,53047,0-17,9307.958,9612.01,-304.052,-0.032
2016,53047,0-17,9339.271,9715.009,-375.738,-0.039
2017,53047,0-17,9323.428,9768.57,-445.142,-0.046
2018,53047,0-17,9300.727,9817.08,-516.353,-0.053
2019,53047,0-17,9232.687,9813.284,-580.597,-0.059
2020,53047,0-17,9180.132,9825.107,-644.975,-0.066
2011,53049,0-17,3679.673,3647.818,31.855,0.009
2012,53049,0-17,3679.313,3616.26,63.053,0.017
2013,53049,0-17,3705.591,3609.416,96.176,0.027
2014,53049,0-17,3715.451,3588.104,127.346,0.035
2015,53049,0-17,3767.536,3607.446,160.09,0.044
2016,53049,0-17,3875.841,3678.151,197.69,0.054
2017,53049,0-17,3944.003,3711.588,232.416,0.063
2018,53049,0-17,3971.001,3701.688,269.313,0.073
2019,53049,0-17,3984.607,3683.857,300.75,0.082
2020,53049,0-17,4010.789,3673.261,337.528,0.092
2011,53051,0-17,2715.694,2723.014,-7.32,-0.003
2012,53051,0-17,2653.53,2667.814,-14.284,-0.005
2013,53051,0-17,2610.746,2631.131,-20.385,-0.008
2014,53051,0-17,2546.099,2572.405,-26.306,-0.01
2015,53051,0-17,2513.012,2546.146,-33.133,-0.013
2016,53051,0-17,2492.809,2531.866,-39.058,-0.015
2017,53051,0-17,2479.424,2526.215,-46.792,-0.019
2018,53051,0-17,2485.335,2541.615,-56.281,-0.022
2019,53051,0-17,2495.611,2563.007,-67.396,-0.026
2020,53051,0-17,2504.761,2581.543,-76.782,-0.03
2011,53053,0-17,195729.088,196348.612,-619.524,-0.003
2012,53053,0-17,195166.817,196392.691,-1225.874,-0.006
2013,53053,0-17,195031.392,196836.17,-1804.778,-0.009
2014,53053,0-17,195761.014,198119.38,-2358.366,-0.012
2015,53053,0-17,197186.626,200175.105,-2988.478,-0.015
2016,53053,0-17,201281.559,204921.697,-3640.137,-0.018
2017,53053,0-17,204559.5,208882.953,-4323.453,-0.021
2018,53053,0-17,206795.905,211824.38,-5028.474,-0.024
2019,53053,0-17,209520.983,215282.607,-5761.625,-0.027
2020,53053,0-17,211517.136,217993.392,-6476.256,-0.03
2011,53055,0-17,2439.71,2411.75,27.96,0.012
2012,53055,0-17,2389.274,2333.276,55.998,0.024
2013,53055,0-17,2359.286,2274.759,84.527,0.037
2014,53055,0-17,2362.276,2250.263,112.012,0.05
2015,53055,0-17,2347.764,2210.029,137.735,0.062
2016,53055,0-17,2343.133,2176.953,166.181,0.076
2017,53055,0-17,2368.688,2174.994,193.694,0.089
2018,53055,0-17,2411.691,2186.81,224.881,0.103
2019,53055,0-17,2468.34,2214.903,253.437,0.114
2020,53055,0-17,2522.812,2238.771,284.041,0.127
2011,53057,0-17,27272.054,27298.244,-26.19,-0.001
2012,53057,0-17,27041.828,27096.098,-54.27,-0.002
2013,53057,0-17,26924.845,27001.87,-77.026,-0.003
2014,53057,0-17,26949.37,27040.762,-91.392,-0.003
2015,53057,0-17,26994.061,27112.842,-118.781,-0.004
2016,53057,0-17,27291.598,27439.566,-147.967,-0.005
2017,53057,0-17,27543.717,27721.755,-178.038,-0.006
2018,53057,0-17,27751.351,27964.662,-213.31,-0.008
2019,53057,0-17,27966.347,28218.343,-251.996,-0.009
2020,53057,0-17,28042.946,28320.833,-277.886,-0.01
2011,53059,0-17,2392.458,2404.915,-12.457,-0.005
2012,53059,0-17,2361.26,2385.761,-24.501,-0.01
2013,53059,0-17,2301.966,2338.178,-36.212,-0.015
2014,53059,0-17,2267.584,2316.556,-48.972,-0.021
2015,53059,0-17,2215.659,2274.066,-58.406,-0.026
2016,53059,0-17,2165.565,2235.487,-69.923,-0.031
2017,53059,0-17,2172.431,2257.454,-85.023,-0.038
2018,53059,0-17,2171.49,2272.239,-100.749,-0.044
2019,53059,0-17,2173.139,2290.476,-117.337,-0.051
2020,53059,0-17,2164.385,2297.107,-132.721,-0.058
2011,53061,0-17,172511.14,172185.265,325.875,0.002
2012,53061,0-17,171153.194,170510.54,642.654,0.004
2013,53061,0-17,171081.219,170112.775,968.444,0.006
2014,53061,0-17,172153.467,170855.885,1297.582,0.008
2015,53061,0-17,174794.528,173192.851,1601.677,0.009
2016,53061,0-17,177792.339,175838.153,1954.186,0.011
2017,53061,0-17,181230.349,178948.806,2281.543,0.013
2018,53061,0-17,184030.802,181396.405,2634.397,0.015
2019,53061,0-17,186565.606,183622.288,2943.318,0.016
2020,53061,0-17,188685.818,185440.052,3245.766,0.018
2011,53063,0-17,109309.997,109520.771,-210.774,-0.002
2012,53063,0-17,108957.82,109375.484,-417.664,-0.004
2013,53063,0-17,109297.827,109917.762,-619.935,-0.006
2014,53063,0-17,109837.257,110647.644,-810.387,-0.007
2015,53063,0-17,110225.202,111263.562,-1038.361,-0.009
2016,53063,0-17,111639.421,112896.433,-1257.012,-0.011
2017,53063,0-17,113183.689,114661.931,-1478.242,-0.013
2018,53063,0-17,114532.451,116256.992,-1724.541,-0.015
2019,53063,0-17,115535.486,117510.977,-1975.491,-0.017
2020,53063,0-17,116525.951,118767.878,-2241.926,-0.019
2011,53065,0-17,10180.91,10130.486,50.424,0.005
2012,53065,0-17,9964.594,9865.697,98.897,0.01
2013,53065,0-17,9778.9,9630.755,148.146,0.015
2014,53065,0-17,9613.868,9418.397,195.471,0.021
2015,53065,0-17,9547.162,9307.211,239.95,0.026
2016,53065,0-17,9475.055,9188.4,286.655,0.031
2017,53065,0-17,9551.473,9214.798,336.675,0.037
2018,53065,0-17,9652.281,9265.618,386.663,0.042
2019,53065,0-17,9766.028,9328.306,437.721,0.047
2020,53065,0-17,9838.206,9341.817,496.389,0.053
2011,53067,0-17,57492.404,57465.988,26.416,0.0
2012,53067,0-17,57518.059,57462.014,56.045,0.001
2013,53067,0-17,57797.745,57703.394,94.351,0.002
2014,53067,0-17,58344.929,58203.314,141.615,0.002
2015,53067,0-17,58895.738,58727.51,168.228,0.003
2016,53067,0-17,60173.251,59991.841,181.41,0.003
2017,53067,0-17,61046.284,60841.463,204.821,0.003
2018,53067,0-17,61915.873,61695.215,220.657,0.004
2019,53067,0-17,62585.877,62377.863,208.015,0.003
2020,53067,0-17,63483.159,63304.867,178.292,0.003
2011,53069,0-17,738.365,726.18,12.185,0.017
2012,53069,0-17,726.116,702.524,23.593,0.034
2013,53069,0-17,724.719,690.31,34.409,0.05
2014,53069,0-17,731.548,682.82,48.728,0.071
2015,53069,0-17,717.05,656.992,60.058,0.091
2016,53069,0-17,720.207,652.33,67.877,0.104
2017,53069,0-17,718.619,640.402,78.217,0.122
2018,53069,0-17,739.782,648.735,91.048,0.14
2019,53069,0-17,757.988,656.21,101.778,0.155
2020,53069,0-17,770.347,653.072,117.276,0.18
2011,53071,0-17,13207.542,13244.333,-36.791,-0.003
2012,53071,0-17,13091.774,13160.424,-68.65,-0.005
2013,53071,0-17,13181.845,13284.284,-102.438,-0.008
2014,53071,0-17,13351.308,13483.397,-132.089,-0.01
2015,53071,0-17,13425.04,13591.653,-166.613,-0.012
2016,53071,0-17,13141.564,13345.58,-204.016,-0.015
2017,53071,0-17,13387.989,13634.636,-246.647,-0.018
2018,53071,0-17,13417.162,13698.193,-281.03,-0.021
2019,53071,0-17,13386.719,13703.217,-316.499,-0.023
2020,53071,0-17,13287.209,13637.537,-350.328,-0.026
2011,53073,0-17,42505.246,42618.725,-113.48,-0.003
2012,53073,0-17,42269.392,42490.244,-220.852,-0.005
2013,53073,0-17,42219.368,42542.681,-323.313,-0.008
2014,53073,0-17,42236.139,42656.017,-419.878,-0.01
2015,53073,0-17,42374.179,42900.241,-526.063,-0.012
2016,53073,0-17,42852.505,43483.843,-631.339,-0.015
2017,53073,0-17,43261.173,43997.347,-736.173,-0.017
2018,53073,0-17,43620.108,44449.628,-829.52,-0.019
2019,53073,0-17,43995.19,44945.656,-950.467,-0.021
2020,53073,0-17,44012.589,45098.019,-1085.43,-0.024
2011,53075,0-17,6749.417,6878.945,-129.528,-0.019
2012,53075,0-17,6899.59,7113.381,-213.791,-0.03
2013,53075,0-17,7153.046,7434.502,-281.456,-0.038
2014,53075,0-17,7383.483,7756.413,-372.93,-0.048
2015,53075,0-17,7323.856,7638.479,-314.623,-0.041
2016,53075,0-17,7738.303,8052.561,-314.258,-0.039
2017,53075,0-17,7858.605,8187.708,-329.104,-0.04
2018,53075,0-17,7884.129,8231.548,-347.419,-0.042
2019,53075,0-17,7911.783,8281.363,-369.58,-0.045
2020,53075,0-17,7785.297,8172.969,-387.672,-0.047
2011,53077,0-17,73583.566,74066.97,-483.404,-0.007
2012,53077,0-17,73384.686,74348.372,-963.685,-0.013
2013,53077,0-17,73496.041,74920.677,-1424.636,-0.019
2014,53077,0-17,73835.33,75715.859,-1880.529,-0.025
2015,53077,0-17,74347.098,76698.818,-2351.72,-0.031
2016,53077,0-17,74605.691,77400.652,-2794.962,-0.036
2017,53077,0-17,74511.172,77801.44,-3290.268,-0.042
2018,53077,0-17,74026.837,77829.972,-3803.135,-0.049
2019,53077,0-17,73303.118,77591.695,-4288.577,-0.055
2020,53077,0-17,72860.827,77641.912,-4781.085,-0.062
